,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,horsepower-binned
0,3,122.0,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.4134328358208958,0.32478632478632447,0.08333333333333333,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000,21,27,13495,Low
1,3,122.0,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.4134328358208958,0.32478632478632447,0.08333333333333333,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000,21,27,16500,Low
2,1,122.0,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,0.4492537313432835,0.4444444444444446,0.38333333333333347,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000,19,26,16500,Medium
3,2,164,audi,gas,std,four,sedan,fwd,front,99.8,0.5298507462686567,0.5042735042735046,0.5416666666666666,2337,ohc,four,109,mpfi,3.19,3.40,10.0,102.0,5500,24,30,13950,Low
4,2,164,audi,gas,std,four,sedan,4wd,front,99.4,0.5298507462686567,0.521367521367522,0.5416666666666666,2824,ohc,five,136,mpfi,3.19,3.40,8.0,115.0,5500,18,22,17450,Low
5,2,122.0,audi,gas,std,two,sedan,fwd,front,99.8,0.5402985074626868,0.5128205128205127,0.44166666666666704,2507,ohc,five,136,mpfi,3.19,3.40,8.5,110.0,5500,19,25,15250,Low
6,1,158,audi,gas,std,four,sedan,fwd,front,105.8,0.7701492537313432,0.9487179487179492,0.6583333333333338,2844,ohc,five,136,mpfi,3.19,3.40,8.5,110.0,5500,19,25,17710,Low
7,1,122.0,audi,gas,std,four,wagon,fwd,front,105.8,0.7701492537313432,0.9487179487179492,0.6583333333333338,2954,ohc,five,136,mpfi,3.19,3.40,8.5,110.0,5500,19,25,18920,Low
8,1,158,audi,gas,turbo,four,sedan,fwd,front,105.8,0.7701492537313432,0.9487179487179492,0.6750000000000002,3086,ohc,five,131,mpfi,3.13,3.40,8.3,140.0,5500,17,20,23875,Medium
9,2,192,bmw,gas,std,two,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,0.5416666666666666,2395,ohc,four,108,mpfi,3.50,2.80,8.8,101.0,5800,23,29,16430,Low
10,0,192,bmw,gas,std,four,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,0.5416666666666666,2395,ohc,four,108,mpfi,3.50,2.80,8.8,101.0,5800,23,29,16925,Low
11,0,188,bmw,gas,std,two,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,0.5416666666666666,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250,21,28,20970,Medium
12,0,188,bmw,gas,std,four,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,0.5416666666666666,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250,21,28,21105,Medium
13,1,122.0,bmw,gas,std,four,sedan,rwd,front,103.5,0.7149253731343285,0.5641025641025647,0.6583333333333338,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250,20,25,24565,Medium
14,0,122.0,bmw,gas,std,four,sedan,rwd,front,103.5,0.7149253731343285,0.5641025641025647,0.6583333333333338,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400,16,22,30760,Medium
15,0,122.0,bmw,gas,std,two,sedan,rwd,front,103.5,0.7865671641791048,0.6495726495726502,0.49166666666666714,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400,16,22,41315,Medium
16,0,122.0,bmw,gas,std,four,sedan,rwd,front,110.0,0.8343283582089553,0.9059829059829065,0.7083333333333334,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400,15,20,36880,Medium
17,2,121,chevrolet,gas,std,two,hatchback,fwd,front,88.4,0.0,0.0,0.45000000000000046,1488,l,three,61,2bbl,2.91,3.03,9.5,48.0,5100,47,53,5151,Low
18,1,98,chevrolet,gas,std,two,hatchback,fwd,front,94.5,0.22089552238805987,0.2820512820512823,0.35000000000000026,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400,38,43,6295,Low
19,0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,0.26417910447761217,0.2820512820512823,0.35000000000000026,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400,38,43,6575,Low
20,1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.2991452991452991,0.25,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68.0,5500,37,41,5572,Low
21,1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.2991452991452991,0.25,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500,31,38,6377,Low
22,1,118,dodge,gas,turbo,two,hatchback,fwd,front,93.7,0.24179104477611965,0.2991452991452991,0.25,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500,24,30,7957,Low
23,1,148,dodge,gas,std,four,hatchback,fwd,front,93.7,0.24179104477611965,0.2991452991452991,0.2333333333333337,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500,31,38,6229,Low
24,1,148,dodge,gas,std,four,sedan,fwd,front,93.7,0.24179104477611965,0.2991452991452991,0.2333333333333337,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500,31,38,6692,Low
25,1,148,dodge,gas,std,four,sedan,fwd,front,93.7,0.24179104477611965,0.2991452991452991,0.2333333333333337,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500,31,38,7609,Low
26,1,148,dodge,gas,turbo,four,sedan,fwd,front,93.7,0.24179104477611965,0.2991452991452991,0.2333333333333337,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500,24,30,8558,Low
27,-1,110,dodge,gas,std,four,wagon,fwd,front,103.3,0.5,0.3675213675213672,1.0,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88.0,5000,24,30,8921,Low
28,3,145,dodge,gas,turbo,two,hatchback,fwd,front,95.9,0.4791044776119402,0.5128205128205127,0.20000000000000048,2811,ohc,four,156,mfi,3.60,3.90,7.0,145.0,5000,19,24,12964,Medium
29,2,137,honda,gas,std,two,hatchback,fwd,front,86.6,0.05223880597014925,0.30769230769230776,0.25,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58.0,4800,49,54,6479,Low
30,2,137,honda,gas,std,two,hatchback,fwd,front,86.6,0.05223880597014925,0.30769230769230776,0.25,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000,31,38,6855,Low
31,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.13283582089552248,0.3162393162393164,0.40000000000000036,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60.0,5500,38,42,5399,Low
32,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.13283582089552248,0.3162393162393164,0.40000000000000036,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000,30,34,6529,Low
33,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.13283582089552248,0.3162393162393164,0.40000000000000036,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000,30,34,7129,Low
34,0,110,honda,gas,std,four,sedan,fwd,front,96.5,0.33283582089552255,0.3162393162393164,0.5583333333333336,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000,30,34,7295,Low
35,0,78,honda,gas,std,four,wagon,fwd,front,96.5,0.23880597014925373,0.30769230769230776,0.875,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76.0,6000,30,34,7295,Low
36,0,106,honda,gas,std,two,hatchback,fwd,front,96.5,0.39402985074626873,0.4188034188034192,0.4583333333333333,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800,27,33,7895,Low
37,0,106,honda,gas,std,two,hatchback,fwd,front,96.5,0.39402985074626873,0.4188034188034192,0.4583333333333333,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800,27,33,9095,Low
38,0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.5119402985074628,0.4188034188034192,0.5250000000000004,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800,27,33,8845,Low
39,0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.5119402985074628,0.18803418803418823,0.5250000000000004,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800,27,33,10295,Low
40,0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.5119402985074628,0.4188034188034192,0.5250000000000004,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101.0,5800,24,28,12945,Low
41,1,107,honda,gas,std,two,sedan,fwd,front,96.5,0.417910447761194,0.4871794871794873,0.2666666666666669,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100.0,5500,25,31,10345,Low
42,0,122.0,isuzu,gas,std,four,sedan,rwd,front,94.3,0.4417910447761193,0.12820512820512817,0.47500000000000026,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78.0,4800,24,29,6785,Low
43,2,122.0,isuzu,gas,std,two,hatchback,rwd,front,96.0,0.4701492537313433,0.4188034188034192,0.3000000000000001,2734,ohc,four,119,spfi,3.43,3.23,9.2,90.0,5000,24,29,11048,Low
44,0,145,jaguar,gas,std,four,sedan,rwd,front,113.0,0.8731343283582089,0.7948717948717945,0.4166666666666667,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750,15,19,32250,Medium
45,0,122.0,jaguar,gas,std,four,sedan,rwd,front,113.0,0.8731343283582089,0.7948717948717945,0.4166666666666667,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750,15,19,35550,Medium
46,0,122.0,jaguar,gas,std,two,sedan,rwd,front,102.0,0.7552238805970148,0.8803418803418799,0.0,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262.0,5000,13,17,36000,High
47,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.26865671641791045,0.33333333333333376,0.5250000000000004,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000,30,31,5195,Low
48,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.26865671641791045,0.33333333333333376,0.5250000000000004,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000,31,38,6095,Low
49,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.26865671641791045,0.33333333333333376,0.5250000000000004,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000,31,38,6795,Low
50,1,113,mazda,gas,std,four,sedan,fwd,front,93.1,0.38358208955223905,0.33333333333333376,0.5250000000000004,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000,31,38,6695,Low
51,1,113,mazda,gas,std,four,sedan,fwd,front,93.1,0.38358208955223905,0.33333333333333376,0.5250000000000004,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68.0,5000,31,38,7395,Low
52,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.4164179104477613,0.4615384615384619,0.15000000000000036,2380,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101.0,6000,17,23,10945,Low
53,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.4164179104477613,0.4615384615384619,0.15000000000000036,2380,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101.0,6000,17,23,11845,Low
54,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.4164179104477613,0.4615384615384619,0.15000000000000036,2385,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101.0,6000,17,23,13645,Low
55,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.4164179104477613,0.4615384615384619,0.15000000000000036,2500,rotor,two,80,mpfi,3.3297512437810957,3.2554228855721337,9.4,135.0,6000,16,23,15645,Medium
56,1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,0.547761194029851,0.52991452991453,0.49166666666666714,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800,26,32,8845,Low
57,0,115,mazda,gas,std,four,sedan,fwd,front,98.8,0.547761194029851,0.52991452991453,0.6416666666666669,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800,26,32,8495,Low
58,1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,0.547761194029851,0.52991452991453,0.49166666666666714,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800,26,32,10595,Low
59,0,115,mazda,gas,std,four,sedan,fwd,front,98.8,0.547761194029851,0.52991452991453,0.6416666666666669,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800,26,32,10245,Low
60,0,122.0,mazda,diesel,std,four,sedan,fwd,front,98.8,0.547761194029851,0.52991452991453,0.6416666666666669,2443,ohc,four,122,idi,3.39,3.39,22.7,64.0,4650,36,42,10795,Low
61,0,115,mazda,gas,std,four,hatchback,fwd,front,98.8,0.547761194029851,0.52991452991453,0.6416666666666669,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800,26,32,11245,Low
62,0,118,mazda,gas,std,four,sedan,rwd,front,104.9,0.5059701492537314,0.49572649572649535,0.5500000000000002,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120.0,5000,19,27,18280,Medium
63,0,122.0,mazda,diesel,std,four,sedan,rwd,front,104.9,0.5059701492537314,0.49572649572649535,0.5500000000000002,2700,ohc,four,134,idi,3.43,3.64,22.0,72.0,4200,31,39,18344,Low
64,-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,0.7432835820895524,0.8547008547008544,0.7250000000000002,3515,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350,22,25,25552,Medium
65,-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,0.7432835820895524,0.8547008547008544,0.9083333333333338,3750,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350,22,25,28248,Medium
66,0,93,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,0.6925373134328359,0.8547008547008544,0.5916666666666668,3495,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350,22,25,28176,Medium
67,-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,0.917910447761194,0.9743589743589746,0.7083333333333334,3770,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350,22,25,31600,Medium
68,-1,122.0,mercedes-benz,gas,std,four,sedan,rwd,front,115.6,0.917910447761194,0.9743589743589746,0.7250000000000002,3740,ohcv,eight,234,mpfi,3.46,3.10,8.3,155.0,4750,16,18,34184,Medium
69,3,142,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,0.5850746268656719,0.8717948717948718,0.25,3685,ohcv,eight,234,mpfi,3.46,3.10,8.3,155.0,4750,16,18,35056,Medium
70,0,122.0,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,1.0,0.9743589743589746,0.7416666666666671,3900,ohcv,eight,308,mpfi,3.80,3.35,8.0,184.0,4500,14,16,40960,Medium
71,1,122.0,mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,0.8671641791044775,1.0,0.6333333333333334,3715,ohcv,eight,304,mpfi,3.80,3.35,8.0,184.0,4500,14,16,45400,Medium
72,1,122.0,mercury,gas,turbo,two,hatchback,rwd,front,102.7,0.5567164179104479,0.6581196581196582,0.5833333333333334,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175.0,5000,19,24,16503,Medium
73,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.35042735042735107,0.25,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500,37,41,5389,Low
74,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.35042735042735107,0.25,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500,31,38,6189,Low
75,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.35042735042735107,0.25,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500,31,38,6669,Low
76,1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,0.24179104477611965,0.2991452991452991,0.25,2145,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500,24,30,7689,Low
77,3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,0.4761194029850747,0.4358974358974365,0.13333333333333344,2370,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500,23,30,9959,Low
78,3,153,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,0.4761194029850747,0.4358974358974365,0.13333333333333344,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000,25,32,8499,Low
79,3,122.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.4791044776119402,0.5128205128205127,0.20000000000000048,2833,ohc,four,156,spdi,3.58,3.86,7.0,145.0,5000,19,24,12629,Medium
80,3,122.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.4791044776119402,0.5128205128205127,0.20000000000000048,2921,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000,19,24,14869,Medium
81,3,122.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.4791044776119402,0.5128205128205127,0.20000000000000048,2926,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000,19,24,14489,Medium
82,1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.4671641791044778,0.4358974358974365,0.31666666666666704,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000,25,32,6989,Low
83,1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.4671641791044778,0.4358974358974365,0.31666666666666704,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000,25,32,8189,Low
84,1,125,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,0.4671641791044778,0.4358974358974365,0.31666666666666704,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500,23,30,9279,Low
85,-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.4671641791044778,0.4358974358974365,0.31666666666666704,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500,23,30,9279,Low
86,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,0.5583333333333336,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200,31,37,5499,Low
87,1,128,nissan,diesel,std,two,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,0.5583333333333336,2017,ohc,four,103,idi,2.99,3.47,21.9,55.0,4800,45,50,7099,Low
88,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,0.5583333333333336,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200,31,37,6649,Low
89,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,0.5583333333333336,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200,31,37,6849,Low
90,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,0.43432835820895516,0.2991452991452991,0.47500000000000026,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200,31,37,7349,Low
91,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,0.5583333333333336,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200,31,37,7299,Low
92,1,128,nissan,gas,std,two,hatchback,fwd,front,94.5,0.3656716417910448,0.2991452991452991,0.4583333333333333,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200,31,37,7799,Low
93,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,0.5583333333333336,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200,31,37,7499,Low
94,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,0.43432835820895516,0.2991452991452991,0.47500000000000026,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200,31,37,7999,Low
95,2,168,nissan,gas,std,two,hardtop,fwd,front,95.1,0.3179104477611942,0.2991452991452991,0.4583333333333333,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200,31,37,8249,Low
96,0,106,nissan,gas,std,four,hatchback,fwd,front,97.2,0.4820895522388061,0.4188034188034192,0.5750000000000005,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200,27,34,8949,Low
97,0,106,nissan,gas,std,four,sedan,fwd,front,97.2,0.4820895522388061,0.4188034188034192,0.5750000000000005,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200,27,34,9549,Low
98,0,128,nissan,gas,std,four,sedan,fwd,front,100.4,0.6059701492537313,0.52991452991453,0.6083333333333337,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200,17,22,13499,Medium
99,0,108,nissan,gas,std,four,wagon,fwd,front,100.4,0.6492537313432836,0.52991452991453,0.691666666666667,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200,17,22,14399,Medium
